text_translated,liststring
"the post is very difficult for unknown volumetrics, forcing the print receipt to click on the office, as a result, filling up again unknown volumetrics",pos susah banget volumetrik unknown habis paksa resi cetak klik kantor alhasil mengisi lagi lagi volumetrik unknown
"just add postal receipt information if you input it so that you open the web a different color green is like inputting yellow, add blue, return red so it's easy to monitor",tambah informasi resi posaja kalau deh dinput biar buka web warna beda ijo kayak dinput warna kuning tambah terima warna biru retur warna merah biar mudah pantau
complete modern simple village application not clear method of sending express same day leger bug pin maps method of pick up motion sometimes anti profile address sometimes server sometimes down sat tracking package history menu 404 not found if using no receipt rating 4 5 application level do good service,aplikasi desa simple moderen lengkap kurang jelas metode kirim expres same day leguler bug pin maps metode pick up gerak kadang anti alamat profil kadang server kadang down sat lacak paket menu riwayat 404 not found kalau mengunakan no resi rating 4 5 tingkat aplikasi do baik pelayananya
Professionals send goods according to the estimated estimate 3 items 6 7 complain about goods using regular express but it's late,profesional kirim barang sesuai estimasi estimasi 3 barang 6 7 itu komplain barang pakai expres reguler beda terlambat
good pick up fast send play promise send tomorrow input cod send send customer already grumbling about website problems sometimes report cod deposit until I record professional appeals expedition the profit is cheap 4k different shipping split the shipping difference up to 5,pick up bagus cepat kirim main janji kirim besok input cod kirim kirim customer sudah ngomel ngomel website kendala kadang report cod setor sampai saya catet profesional banding ekspedisi keuntunganya murah beda 4rb ekspedisi belah pengirimanya selisih sampai 5
"the package contents form is confused, the item value column appears, the item insurance column is optional",form isi paket bingung kolom nilai barang muncul kolom asuransi barang itu optional tolong donk aplikasi dibetulin aplikasi pospay kalau login user name muncul akun blokir kalau pakai nama email login aplikasi sempurna
"1 generate an error, enter an invoice, it's not automatic, the order is delayed 2 history of tracking receipts, sending enter the receipt number 3 is better",1 generate pas eror masukkan invoice ngak otomatis order molor 2 history resi ngelacak kirim masukkan nomor resi 3 lebih oke
This random application took this expert in. 1 print web invoice 2 qposin giro application to make it complicated 3 try not to trouble 4 menu detail cancel order so wrongly press no va woah,aplikasi karuan mengambil ahli it ini masuk 1 cetak invoice web 2 aplikasi qposin giro jadin biar ribet 3 usahain ngak trouble 4 menu detail batal order jadi salah pencet no va haduh
"boking times the application detects heavy traffic, try again, open qposin, detect the computer, the application is really damaged, the delivery is wrong, the estimate is wrong, nb application problem, login request failed",boking kali aplikasi deteksi muncul trafic padat cobalagi buka qposin komputer deteksi aplikasi benar rusak baik pengirimanya meleset estimasi nb aplikasi masalah login request gagal
"good, yesterday's application was upgraded, checked the city's postage, an example of poor appeared, wrote the sub-district, it has appeared, please be good, the system is severe, pol",bagus aplikasi kemarin upgrade cek ongkos kirim kota muncul contoh malang muncul tulis kecamatanya udh muncul tolong baik sistem parah pol
"The shipping error is very slow, as long as the estimated expedition of the expedition is 2-4, sometimes in the afternoon, please fix the error system, thank you",eror kirim lambat banget selau estimasi ekspedisi ekspedisi 2 4 kadang sore tolong baik sistem eror terima kasih
